TP_SEXO;TP_COR_RACA;IN_TREINEIRO;CO_ESCOLA;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;NU_NOTA_REDACAO;nivelEstudoMae;QTD_PESSOAS_CASA;RendaMaxima;POSSUI_CELULAR;POSSUI_PC;POSSUI_INTERNET;mediaNota
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;592.1;532.5;557.0;640.6;Inglês;560.0;Medio;3;E1;Sim;Sim;Sim;576.4399999999999
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;412.2;457.4;454.0;440.6;Espanhol;520.0;FundamentalIncompleto;5;D1;Sim;Sim;Sim;456.84
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;521.7;609.7;595.4;595.3;Inglês;580.0;FundamentalIncompleto;4;E1;Sim;Nao;Não;580.4200000000001
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;541.0;453.3;494.4;555.1;Inglês;480.0;Medio;5;E1;Sim;Nao;Sim;504.75999999999993
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;402.7;492.8;527.8;515.8;Espanhol;640.0;Medio;4;E1;Sim;Sim;Sim;515.8199999999999
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;395.5;481.9;472.4;535.2;Espanhol;480.0;FundamentalCompleto;4;E1;Sim;Nao;Sim;473.0
Feminino;Parda;0;31069108.0;Lima Duarte;Estadual;Urbano;1;1;1;1;353.2;403.3;372.8;421.5;Inglês;280.0;NuncaEstudou;5;E1;Sim;Nao;Sim;366.15999999999997
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;598.9;646.3;643.4;706.0;Espanhol;820.0;Medio;3;D1;Sim;Sim;Sim;682.92
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;508.0;501.1;510.4;409.4;Inglês;640.0;FundamentalCompleto;3;E1;Sim;Sim;Sim;513.78
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;535.3;518.3;549.3;396.5;Espanhol;560.0;Medio;4;E1;Sim;Nao;Sim;511.87999999999994
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;528.9;401.3;463.8;511.4;Espanhol;600.0;Medio;4;E1;Sim;Sim;Não;501.08000000000004
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;397.8;381.5;482.2;393.8;Espanhol;480.0;FundamentalCompleto;5;E1;Sim;Sim;Sim;427.06000000000006
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;562.9;549.8;551.6;527.9;Espanhol;660.0;Medio;3;E1;Sim;Sim;Sim;570.4399999999999
Feminino;Amarela;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;572.9;543.0;546.0;629.7;Inglês;740.0;Medio;6;E1;Sim;Nao;Sim;606.32
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;4;E1;Sim;Nao;Não;
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;636.5;611.7;588.3;725.8;Inglês;580.0;FundamentalIncompleto;4;D1;Sim;Sim;Sim;628.46
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;344.1;425.1;418.3;369.3;Inglês;400.0;FundamentalIncompleto;4;E1;Sim;Sim;Sim;391.36
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;547.7;596.0;534.4;674.7;Inglês;840.0;Superior;3;E1;Sim;Sim;Sim;638.5600000000001
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;389.0;508.3;414.3;546.9;Espanhol;400.0;Superior;3;E1;Sim;Sim;Sim;451.7
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;494.0;520.4;540.8;567.2;Inglês;600.0;FundamentalCompleto;4;D1;Sim;Nao;Sim;544.4799999999999
Feminino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;546.1;570.5;583.5;714.8;Inglês;840.0;Superior;4;C1;Sim;Sim;Sim;650.9799999999999
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;593.0;590.1;566.2;695.0;Inglês;420.0;Superior;3;E1;Sim;Sim;Sim;572.86
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;568.0;557.2;550.0;659.2;Espanhol;800.0;Superior;3;D1;Sim;Nao;Sim;626.88
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;396.0;460.6;496.6;467.9;Inglês;400.0;Medio;4;E1;Sim;Sim;Sim;444.21999999999997
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;429.5;416.8;511.1;377.4;Espanhol;220.0;FundamentalCompleto;3;E1;Sim;Nao;Sim;390.96000000000004
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;511.2;532.1;551.0;590.7;Inglês;600.0;Medio;4;C1;Sim;Sim;Sim;557.0
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;512.8;362.7;482.0;368.7;Espanhol;460.0;Medio;10;D1;Sim;Nao;Não;437.23999999999995
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;359.9;469.1;510.2;593.7;Inglês;720.0;FundamentalIncompleto;2;E1;Sim;Nao;Não;530.58
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;455.4;568.7;557.7;389.9;Inglês;520.0;FundamentalCompleto;3;E1;Sim;Nao;Sim;498.34
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;0;1;1;0;;391.0;488.6;;Espanhol;0.0;Superior;5;E1;Sim;Sim;Sim;
Masculino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;510.2;528.4;537.3;435.8;Espanhol;520.0;Superior;3;E1;Sim;Nao;Sim;506.34
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;496.9;584.3;553.4;560.0;Inglês;560.0;FundamentalIncompleto;3;E1;Sim;Sim;Sim;550.92
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;441.2;511.4;515.2;499.5;Inglês;540.0;Medio;3;E1;Sim;Nao;Não;501.46000000000004
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;0;1;1;0;;529.1;540.6;;Inglês;420.0;Medio;4;E1;Nao;Sim;Sim;
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;570.1;626.5;649.6;681.1;Espanhol;940.0;Medio;4;C1;Sim;Sim;Sim;693.4599999999999
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;476.3;567.4;530.8;624.4;Espanhol;560.0;Medio;3;E1;Sim;Nao;Sim;551.78
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;6;E1;Sim;Nao;Sim;
Feminino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;501.9;502.1;526.3;424.7;Espanhol;560.0;Medio;4;E1;Sim;Sim;Sim;503.0
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;443.4;374.5;468.6;412.9;Inglês;500.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;439.88
Masculino;Preta;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;413.2;416.2;407.1;378.6;Inglês;240.0;NuncaEstudou;3;E1;Sim;Nao;Não;371.02
Masculino;Branca;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;487.3;550.2;538.3;442.9;Inglês;700.0;Medio;2;E1;Sim;Sim;Sim;543.74
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;597.3;633.2;626.6;586.0;Inglês;720.0;Medio;4;E1;Sim;Sim;Não;632.62
Masculino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;5;D1;Sim;Sim;Não;
Feminino;Preta;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;4;E1;Sim;Nao;Sim;
Feminino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;413.5;457.9;453.9;366.8;Espanhol;580.0;FundamentalCompleto;7;E1;Sim;Nao;Sim;454.41999999999996
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;565.5;584.1;604.2;607.9;Inglês;820.0;Superior;4;C1;Sim;Sim;Sim;636.3399999999999
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;575.4;579.2;573.4;703.8;Espanhol;740.0;Superior;5;C1;Sim;Sim;Sim;634.36
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;438.6;436.6;453.8;539.5;Inglês;560.0;FundamentalIncompleto;4;E1;Sim;Sim;Sim;485.7
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;476.2;407.9;468.8;416.1;Espanhol;300.0;Medio;3;E1;Sim;Sim;Sim;413.8
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;576.0;621.6;575.0;611.8;Inglês;640.0;Superior;3;D1;Sim;Sim;Sim;604.8799999999999
Masculino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;371.2;366.4;406.6;426.0;Espanhol;200.0;FundamentalIncompleto;6;E1;Sim;Nao;Sim;354.03999999999996
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;5;E1;Sim;Nao;Sim;
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;435.4;478.3;453.6;540.0;Espanhol;620.0;FundamentalIncompleto;4;E1;Sim;Sim;Sim;505.46000000000004
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;426.5;408.7;508.4;432.4;Espanhol;720.0;Medio;5;E1;Sim;Nao;Sim;499.2
Masculino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;503.9;452.2;505.9;499.7;Inglês;540.0;Medio;3;C1;Sim;Sim;Sim;500.34
Feminino;Indígena;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;400.1;423.9;470.0;446.3;Espanhol;400.0;FundamentalCompleto;4;E1;Sim;Sim;Sim;428.06000000000006
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;559.5;579.9;562.4;701.6;Espanhol;680.0;Superior;5;D1;Sim;Nao;Sim;616.6800000000001
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;370.1;463.1;492.8;398.7;Inglês;360.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;416.93999999999994
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;442.2;555.4;539.7;403.7;Espanhol;360.0;FundamentalIncompleto;4;E1;Sim;Nao;Sim;460.2
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;386.3;494.4;545.6;502.6;Inglês;480.0;Medio;5;E1;Sim;Sim;Sim;481.78000000000003
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;550.0;608.3;567.1;651.2;Espanhol;740.0;FundamentalCompleto;3;E1;Sim;Sim;Sim;623.32
Feminino;Preta;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;449.7;446.8;526.6;412.6;Espanhol;500.0;FundamentalIncompleto;5;E1;Sim;Sim;Sim;467.14
Masculino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;465.8;563.0;576.6;667.4;Inglês;640.0;FundamentalCompleto;3;E1;Sim;Sim;Sim;582.5600000000001
Masculino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;556.2;620.8;569.7;608.1;Espanhol;560.0;Medio;5;E1;Sim;Sim;Sim;582.96
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;579.9;658.2;566.9;707.7;Inglês;740.0;Medio;3;E1;Sim;Sim;Sim;650.54
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;487.4;512.2;495.2;448.3;Inglês;620.0;Medio;3;E1;Sim;Sim;Não;512.62
Masculino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;2;E1;Nao;Nao;Sim;
Masculino;Preta;0;31069027.0;Lima Duarte;Estadual;Rural;0;1;1;0;;416.2;396.7;;Espanhol;0.0;Superior;3;E1;Sim;Nao;Sim;
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;537.9;425.4;467.4;483.3;Inglês;600.0;FundamentalIncompleto;5;E1;Nao;Nao;Não;502.8
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;529.6;547.0;580.9;414.5;Inglês;760.0;NuncaEstudou;3;E1;Nao;Nao;Não;566.4
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;425.5;447.2;492.3;415.5;Inglês;500.0;FundamentalIncompleto;4;E1;Nao;Nao;Não;456.1
Feminino;Preta;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;365.0;420.3;416.4;402.9;Inglês;200.0;FundamentalIncompleto;6;E1;Nao;Nao;Não;360.91999999999996
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;5;E1;Sim;Nao;Não;
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;0;1;1;0;;490.8;462.0;;Inglês;400.0;FundamentalIncompleto;5;E1;Nao;Nao;Não;
Masculino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;393.0;446.6;419.4;484.0;Inglês;320.0;FundamentalIncompleto;2;E1;Sim;Sim;Não;412.6
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;6;E1;Sim;Nao;Sim;
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;403.3;487.5;506.5;416.9;Espanhol;540.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;470.84
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;371.7;395.7;427.6;382.7;Inglês;360.0;FundamentalIncompleto;4;E1;Sim;Nao;Sim;387.54
Feminino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;354.7;379.9;450.2;405.6;Espanhol;280.0;Medio;5;C1;Sim;Sim;Sim;374.08000000000004
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;436.5;537.7;538.5;468.3;Inglês;480.0;Medio;4;D1;Sim;Nao;Não;492.2
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;448.7;454.6;511.6;672.4;Inglês;640.0;Superior;3;C1;Sim;Nao;Não;545.46
Masculino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;496.4;362.4;493.3;517.2;Inglês;0.0;Medio;4;E1;Sim;Nao;Não;373.86
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;456.8;382.5;370.6;398.1;Espanhol;420.0;Superior;4;E1;Sim;Sim;Sim;405.6
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;509.4;543.6;583.7;566.5;Inglês;600.0;Medio;4;E1;Sim;Sim;Sim;560.64
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;504.3;571.4;488.5;625.9;Inglês;640.0;Superior;3;D1;Sim;Sim;Sim;566.02
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;399.5;414.3;451.0;521.5;Espanhol;240.0;FundamentalIncompleto;2;E1;Sim;Nao;Sim;405.26
Feminino;Parda;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;FundamentalIncompleto;6;E1;Sim;Sim;Sim;
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;429.8;516.5;494.9;496.3;Espanhol;340.0;Superior;6;E1;Sim;Sim;Não;455.5
Masculino;Branca;0;31069027.0;Lima Duarte;Estadual;Rural;0;0;0;0;;;;;Inglês;;Medio;7;E1;Sim;Sim;Sim;
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;452.1;515.8;507.4;629.9;Inglês;360.0;FundamentalCompleto;5;D1;Sim;Sim;Sim;493.03999999999996
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;Superior;5;D1;Sim;Sim;Sim;
Masculino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;549.4;570.3;567.9;679.9;Inglês;620.0;Superior;2;E1;Sim;Sim;Sim;597.5
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;Superior;6;E1;Sim;Nao;Sim;
Feminino;Parda;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;460.2;587.9;571.0;583.2;Inglês;540.0;FundamentalIncompleto;3;E1;Sim;Nao;Sim;548.46
Masculino;Branca;0;31304981.0;Lima Duarte;Privada;Urbano;1;1;1;1;573.2;583.3;563.0;656.4;Inglês;680.0;Medio;3;D1;Sim;Sim;Sim;611.1800000000001
Masculino;Branca;0;31069027.0;Lima Duarte;Estadual;Rural;1;1;1;1;350.9;445.7;493.7;514.7;Espanhol;440.0;Medio;3;E1;Sim;Sim;Sim;449.0
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;472.7;491.4;503.2;519.8;Inglês;580.0;Medio;3;E1;Sim;Sim;Sim;513.42
Masculino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;1;1;1;1;401.1;483.4;499.5;464.9;Inglês;580.0;FundamentalIncompleto;3;D1;Sim;Nao;Sim;485.78000000000003
Feminino;Branca;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;3;E1;Sim;Sim;Sim;
Feminino;Branca;0;31069019.0;Lima Duarte;Estadual;Urbano;1;1;1;1;444.8;482.9;529.3;422.0;Inglês;480.0;Superior;5;E1;Sim;Nao;Sim;471.8
Feminino;Parda;0;31069094.0;Lima Duarte;Estadual;Urbano;0;0;0;0;;;;;Espanhol;;FundamentalIncompleto;4;E1;Sim;Sim;Sim;
